2018-10-26 16:31:56,920 INFO Initializing
2018-10-26 16:31:56,938 INFO Preparing 64 HPO trials with 4 nodes each
2018-10-26 16:31:56,940 INFO Submitting HP 0: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_0', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.5318940378651195}, 'optimizer': {'name': 'Adadelta', 'lr': 5e-05}, 'training': {'batch_size': 32, 'n_epochs': 16, 'lr_warmup_epochs': 7, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,953 INFO Submitting HP 1: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_1', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.33806203455656036}, 'optimizer': {'name': 'Adadelta', 'lr': 0.0005}, 'training': {'batch_size': 128, 'n_epochs': 16, 'lr_warmup_epochs': 15, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,960 INFO Submitting HP 2: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_2', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.15062953115482836}, 'optimizer': {'name': 'Adam', 'lr': 0.0005}, 'training': {'batch_size': 128, 'n_epochs': 16, 'lr_warmup_epochs': 14, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,968 INFO Submitting HP 3: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_3', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.41898396832889384}, 'optimizer': {'name': 'Nadam', 'lr': 0.0005}, 'training': {'batch_size': 64, 'n_epochs': 16, 'lr_warmup_epochs': 10, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,975 INFO Submitting HP 4: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_4', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.7279576954900956}, 'optimizer': {'name': 'Nadam', 'lr': 0.005}, 'training': {'batch_size': 128, 'n_epochs': 16, 'lr_warmup_epochs': 15, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,982 INFO Submitting HP 5: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_5', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.6417315539959185}, 'optimizer': {'name': 'Adadelta', 'lr': 0.001}, 'training': {'batch_size': 32, 'n_epochs': 16, 'lr_warmup_epochs': 9, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,990 INFO Submitting HP 6: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_6', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.7897653678654096}, 'optimizer': {'name': 'Adadelta', 'lr': 0.0001}, 'training': {'batch_size': 128, 'n_epochs': 16, 'lr_warmup_epochs': 6, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:56,998 INFO Submitting HP 7: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_7', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.4383017091502983}, 'optimizer': {'name': 'Adam', 'lr': 0.005}, 'training': {'batch_size': 64, 'n_epochs': 16, 'lr_warmup_epochs': 13, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:57,005 INFO Submitting HP 8: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_8', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.5448288577328178}, 'optimizer': {'name': 'RMSprop', 'lr': 0.001}, 'training': {'batch_size': 32, 'n_epochs': 16, 'lr_warmup_epochs': 10, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:57,013 INFO Submitting HP 9: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_9', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.6061179552277579}, 'optimizer': {'name': 'Nadam', 'lr': 0.001}, 'training': {'batch_size': 128, 'n_epochs': 16, 'lr_warmup_epochs': 2, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
2018-10-26 16:31:57,020 INFO Submitting HP 10: {'description': 'ResNet CIFAR10', 'output_dir': '/global/cscratch1/sd/sfarrell/sc18-dl-tutorial/cifar-resnet-hpo/hp_10', 'data': {'name': 'cifar10'}, 'model': {'name': 'resnet18_cifar', 'input_shape': [32, 32, 3], 'n_classes': 10, 'dropout': 0.4401406213669309}, 'optimizer': {'name': 'Adadelta', 'lr': 5e-05}, 'training': {'batch_size': 32, 'n_epochs': 16, 'lr_warmup_epochs': 11, 'loss': 'categorical_crossentropy', 'metrics': ['accuracy', 'top_k_categorical_accuracy']}}
